Date,Open,High,Low,Close,Volume,Market Cap
Jul-07-2022,38.47805051589929,39.2806155314892,36.53871209709981,38.43854187463667,2706568739.6794424,13087093148.761889
Jul-06-2022,37.001302917200775,39.11301693550449,36.3939,38.45994455570479,2491554096.888889,12895236771.132847
Jul-05-2022,35.394092119703465,37.3421,34.8913,37.04114203035347,2970342750.021818,12354717831.008219
Jul-04-2022,36.6325,36.7918,33.192620452587775,35.31023799411822,2625849540.923077,12027891303.96739
Jul-03-2022,33.3453,36.7471,32.4979,36.7471,1658416007.1111112,11652945991.85096
Jul-02-2022,33.317647778338376,33.5663,32.1815,33.3517,1512254531.5555556,11286399747.20274
Jul-01-2022,32.7715191962672,33.93023866450941,31.946939751785514,33.33379280537751,2116710941.7777777,11264542309.44719
Jun-30-2022,33.700970412866475,35.2171,32.0102,32.876656082255685,3357457366.2222223,11359545748.436144
Jun-29-2022,34.0659,34.1879,31.19260757727457,33.5688794506759,2918825335.111111,11045104144.196442
Jun-28-2022,35.3291,35.9890816628959,33.258136548884,33.9182,2908537659.7630663,11937414090.887852
Jun-27-2022,38.44661530190163,39.73720539904536,35.1856,35.3404,2603699865.4216027,12903434324.847403
Jun-26-2022,39.3825,41.1406,38.0609444477781,38.4696,2616899447.111111,13556021331.954268
Jun-25-2022,42.21036736726604,42.3699,39.3497,39.4474,2704128538.6666665,14035665404.993412
Jun-24-2022,41.86947762861144,42.50119228657055,39.7897,42.29754906876593,3575195290.6666665,14132097977.386454
Jun-23-2022,38.0936,42.82202742556721,37.7767,42.21059536234827,4255747177.7777777,13604617407.272438
Jun-22-2022,34.098651131209,38.3429,34.098651131209,38.1855,3856522683.5555553,12504909102.044771
Jun-21-2022,36.259539619616376,36.682932850570914,33.67922130654173,34.13306086029629,4015643405.3333335,11983525134.883034
Jun-20-2022,35.2023,38.7492,34.267808683536735,36.16108256245947,4711848846.4290905,12578619835.72014
Jun-19-2022,34.1859,36.5848,31.79938392582326,35.4502,4698972967.111111,11659110063.519241
Jun-18-2022,31.9214,34.99369545994221,28.887082503653257,34.2477,4904523288.888889,10852025370.861462
Jun-17-2022,30.7092,31.8876,27.430251762435397,31.8876,2920648737.7777777,10177952352.787708
Jun-16-2022,30.0771,32.061,29.399315233218857,30.836,4003289830.2222223,10676120016.82096
Jun-15-2022,34.521746161456214,35.544908729790805,29.669,29.9836,5682014664.503496,11043816094.17044
Jun-14-2022,29.6335,34.483819207272134,26.869321728104364,34.12335303030117,4631945013.333333,10102346959.365353
Jun-13-2022,28.44461723609023,31.8995,26.06682860287954,29.7257,6026618475.789474,10002495930.5881
Jun-12-2022,30.601605839710523,31.085917567907185,26.2198,27.69968370360193,4822875918.321678,9612110665.055405
Jun-11-2022,33.9654,34.3004,30.63935084912716,30.63935084912716,3346866432.888889,11195256394.052145
Jun-10-2022,37.14041619402208,37.8947,33.51565154696874,33.9633,2638871287.111111,12259201374.023994
Jun-09-2022,39.932030962591895,40.7902,37.0677,37.083127352140615,2831278453.3333335,13288549554.998207
Jun-08-2022,38.95264355744504,41.60837781517913,38.532771727558206,39.9300771345323,2600263175.2112675,13647681265.263622
Jun-07-2022,39.2982,40.643286236988594,38.4461,38.88858723690025,3798016504.7887325,13414583014.486315
Jun-06-2022,42.399,42.399,37.6382,39.3653,4569874251.555555,13409355247.683342
Jun-05-2022,38.56271842076186,44.47781316709297,38.45375259956832,42.36590059716314,3682050379.5555553,14403564573.116417
Jun-04-2022,38.99621459381601,39.9546,37.9351,38.43047065236863,2417509080.888889,13283049383.096804
Jun-03-2022,38.3084226236807,39.12908233967005,36.0517,39.007306936041175,2914979919.111111,12749269879.356867
Jun-02-2022,40.95851522155634,41.424940049062585,37.829,38.31010498938392,3043216367.111111,13344057733.866955
Jun-01-2022,40.204058192252674,41.35851348147693,38.2829,40.9281092369258,3555173957.3333335,13657109204.48015
May-31-2022,45.69089101819483,45.9788,40.095195522640985,40.31200700027603,2498716742.9614034,14849042244.264336
May-30-2022,47.1861,48.05614168230269,44.76136450548967,45.87461240454152,3089384337.7777777,15747159359.299612
May-29-2022,44.9575,47.809557729938334,44.29392699990258,47.1395,2779854775.4965034,15662092457.821194
May-28-2022,44.30382122307125,45.3972,41.97091191080772,44.8179,2444996303.111111,14858545773.49544
May-27-2022,41.04221767298296,44.59027088604745,40.4514,44.41872725057648,3132020069.3333335,14363707900.836231
May-26-2022,43.4305,43.76022227472494,40.0736,40.89120134827233,4441943872.888889,14185585894.221825
May-25-2022,47.9352,48.5633,41.95279106445924,43.573929741189545,2978130483.5555553,15451396008.724648
May-24-2022,49.6577,50.393509085583695,47.67008685198619,47.90732339190824,2580858019.5555553,16563006011.280449
May-23-2022,49.06343807221148,50.47777491399352,47.4854,49.6721,2965948909.3333335,16762932860.528128
May-22-2022,52.528374810052696,54.5359,48.63538853473237,49.06696855662219,2384953257.477352,17805815306.122833
May-21-2022,50.29852858615958,53.00093629355968,49.68925473921368,52.7833435996448,1716740175.5555556,17361798456.252563
May-20-2022,49.45096257463468,51.0505,48.5455,50.21584041337477,2749003145.3333335,16917077290.347586
May-19-2022,52.2672000427745,53.510048431700206,47.94066090308676,49.57496040570897,3548355967.111111,17339150550.212574
May-18-2022,49.8456,53.72864030388682,48.60448122950142,52.35165920412775,3547859138.2377625,17290251376.824444
May-17-2022,57.087695293811656,57.65621985440934,49.7284,49.8652,3220589201.006993,18014059929.381172
May-16-2022,53.458834272434565,58.0814,53.458834272434565,57.30610540471233,3124783676.4444447,18818816094.06903
May-15-2022,58.48831729414356,58.48831729414356,52.2341,53.53696944718695,3083354215.111111,18405609220.769466
May-14-2022,52.1017,58.779966067053685,49.70435550987227,58.779966067053685,2705982344.888889,17852154041.22133
